[0.33598623 0.5079175 ],[0.32369685 0.51367766],[0.3259048  0.49889073],[0.32718813 0.52448374],[0.32784963 0.48393157],[0.37386853 0.5433982 ],[0.3772527  0.46283263],[0.4348497  0.56706256],[0.43041772 0.44490117],[0.48862344 0.55391985],[0.49372622 0.46148297],[0.5008597 0.5268376],[0.4978879  0.48310336],[0.59745014 0.52699304],[0.59925026 0.47958842],[0.6781799 0.5318765],[0.6785045  0.48309904]
[0.33870363 0.50704724],[0.3268882 0.5131072],[0.32893422 0.49498355],[0.32765484 0.5224756 ],[0.3289666  0.48191768],[0.36921927 0.5446055 ],[0.37682563 0.45864373],[0.42888534 0.5740408 ],[0.42916828 0.43712026],[0.49121466 0.558806  ],[0.47489718 0.4621933 ],[0.49189097 0.5295604 ],[0.4886246 0.4845239],[0.5919676  0.52897316],[0.5883007  0.48089272],[0.6733892  0.53006643],[0.6768532  0.48501688]
[0.34006006 0.5022428 ],[0.3289907  0.51003313],[0.3292766  0.49279666],[0.33058816 0.5177723 ],[0.3299179 0.4811674],[0.3708306  0.54096437],[0.37613472 0.45663062],[0.42114693 0.5791537 ],[0.43020773 0.42732355],[0.47079796 0.55924684],[0.45447564 0.46511364],[0.4940312 0.5234264],[0.4903316  0.48228803],[0.5946331 0.5350817],[0.59380156 0.47935897],[0.65751445 0.5257468 ],[0.67291856 0.48632059]
[0.3402757 0.4991633],[0.3300616  0.50619084],[0.33021995 0.49016544],[0.3296726 0.5143712],[0.32945672 0.47991535],[0.3649157  0.53776574],[0.37451413 0.4546176 ],[0.41032347 0.5871833 ],[0.42655027 0.42255437],[0.44533256 0.5681698 ],[0.4089622  0.45237392],[0.49269634 0.52417564],[0.4931789  0.47900453],[0.58354783 0.5348331 ],[0.59059983 0.4773185 ],[0.648564  0.5202779],[0.66297776 0.48316744]
[0.3372874  0.49954036],[0.3285713 0.5078071],[0.3276183 0.4923011],[0.32893437 0.51434684],[0.3271902  0.47869548],[0.3662989 0.5273481],[0.3711407  0.45946422],[0.3979464  0.58540857],[0.41442922 0.41742235],[0.41102958 0.58325446],[0.40188006 0.41364354],[0.48792318 0.5168065 ],[0.48975137 0.47654742],[0.57709944 0.53532517],[0.5877522  0.47849518],[0.6457496  0.51654315],[0.668379  0.4835993]
[0.33724165 0.50105035],[0.32918736 0.5089028 ],[0.3282229  0.49347526],[0.32810628 0.5155707 ],[0.32666662 0.47707373],[0.3642046 0.5249787],[0.3686218  0.45530555],[0.3926418  0.58060473],[0.4033227  0.41436398],[0.39452982 0.59200925],[0.38964355 0.42004642],[0.48352432 0.51671565],[0.48743734 0.47594318],[0.5781773  0.53671926],[0.59122735 0.47795153],[0.64230275 0.5205559 ],[0.67192096 0.4817437 ]
[0.33463076 0.5004065 ],[0.32283455 0.5050602 ],[0.32210618 0.49252954],[0.32334155 0.51046777],[0.32232127 0.4820443 ],[0.3617957  0.52045363],[0.36296892 0.46102557],[0.39351526 0.58088803],[0.3996828  0.41484764],[0.38171592 0.58936584],[0.3634085  0.43225256],[0.48351267 0.5133139 ],[0.48536003 0.48044565],[0.5799158 0.5337297],[0.5887364 0.4854001],[0.6486805  0.51430655],[0.66743594 0.48315048]
[0.3345536 0.5019752],[0.323602  0.5088589],[0.3240756  0.49414477],[0.3218853 0.5140716],[0.32296893 0.47805318],[0.36010814 0.5253587 ],[0.35689244 0.4534736 ],[0.39730272 0.5827313 ],[0.3992663 0.4215132],[0.3680087 0.5942193],[0.34966832 0.44297555],[0.48441422 0.5187754 ],[0.48499122 0.4767428 ],[0.5836174 0.5347343],[0.58942854 0.48244855],[0.6481612 0.5168369],[0.666241   0.48118886]
[0.33427224 0.50110793],[0.32307914 0.50852495],[0.32458016 0.4924488 ],[0.31800362 0.514069  ],[0.3214185  0.47713056],[0.35883236 0.52584565],[0.35866112 0.44938213],[0.39771762 0.5739232 ],[0.40528286 0.42291483],[0.36925244 0.5907376 ],[0.3475226  0.43942305],[0.48710227 0.51995295],[0.48799786 0.47811523],[0.58562255 0.53340214],[0.590129  0.4804804],[0.654771 0.520118],[0.66565216 0.48174322]
[0.3336691  0.50112516],[0.32435134 0.5093464 ],[0.3239888  0.49171963],[0.3232629 0.518162 ],[0.32250085 0.4780312 ],[0.365871   0.53116894],[0.36564636 0.4543583 ],[0.4128692  0.57572186],[0.41258943 0.42800757],[0.36922017 0.60222626],[0.35548887 0.42653537],[0.48580563 0.5227039 ],[0.48752314 0.4798842 ],[0.5883691 0.5333675],[0.59047216 0.4814772 ],[0.661573  0.5215954],[0.67138475 0.48336226]
[0.3306983 0.5023905],[0.3225282 0.5080507],[0.32161114 0.49340025],[0.32448256 0.5171917 ],[0.3238727  0.48253188],[0.37091216 0.53495264],[0.37613666 0.45682344],[0.43100786 0.57100815],[0.42348185 0.43238217],[0.3961372  0.61089444],[0.36599723 0.44018096],[0.4929187 0.523395 ],[0.49146003 0.4838585 ],[0.59619606 0.5207932 ],[0.5939645  0.48651895],[0.67759836 0.51543355],[0.676496 0.486804]
